[2023-10-12 08:29:54] | UserAccount_ID: 1 | UserID: NULL | Action: / | 
[2023-10-12 08:30:02] | UserAccount_ID: 1 | UserID: NULL | Action: /login | 
[2023-10-12 08:30:08] | UserAccount_ID: 1 | UserID: NULL | Action: /login | email: test@gmail.com | password: ******** | 
[2023-10-12 08:30:08] | UserAccount_ID: 1 | UserID: 14 | Action: / | 
[2023-10-12 08:30:13] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/47 | 
[2023-10-12 08:30:14] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:15] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:16] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:17] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:17] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:17] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:17] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:17] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:18] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:19] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:19] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:19] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:19] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:20] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:20] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:20] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:20] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:20] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:21] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:22] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:22] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:22] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:22] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:23] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:23] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:24] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
[2023-10-12 08:30:24] | UserAccount_ID: 1 | UserID: 14 | Action: /add-to-cart/38 | 
